AreaCode,Area,StartPinCode,EndPinCode,AreaName
110001,NEW DELHI,110001,110001,NEW DELHI CONNAUGHT PLACE : 110 001  - 110 001
110005,NEW DELHI,110005,110005,NEW DELHI KAROL BAG : 110 005 : 110 005
110007,NEW DELHI,110007,110007,NEW DELHI KAMLA NAGAR : 110 007 : 110 007
110012,NEW DELHI,110012,110012,NEW DELHI INDER PURI : 110 012 : 110 012
110014,NEW DELHI,110014,110014,NEW DELHI JANGPUR : 110 014 : 110 014
110016,NEW DELHI,110016,110016,NEW DELHI HAUZ KHAS : 110 016 : 110 016
110018,NEW DELHI,110018,110018,NEW DELHI TILAK NAGAR : 110 018 : 110 018
110019,NEW DELHI,110019,110019,NEW DELHI KALKAJI  : 110 019 : 110 019
110021,NEW DELHI,110021,110021,NEW DELHI NANAK PURA : 110 021 : 110 021
110040,NEW DELHI,110040,110040,NEW DELHI NARELA : 110 040 : 110 040
110042,NEW DELHI,110042,110042,NEW DELHI DELHI ENGINEERING COLLEGE : 110 042 : 110 042
110045,NEW DELHI,110045,110045,NEW DELHI BAGROLA : 110 045 : 110 045
110047,NEW DELHI,110047,110047,NEW DELHI ARJANGARH : 110 047 : 110 047
110048,NEW DELHI,110048,110048,NEW DELHI GREATER KAILASH : 110 048 : 110 048
110055,NEW DELHI,110055,110055,NEW DELHI AMRIT KAUR MARKET : 110 055 : 110 055
110057,NEW DELHI,110057,110057,NEW DELHI VASANT VIHAR : 110 057 : 110 057
110058,NEW DELHI,110058,110058,NEW DELHI DESU COLONY : 110 058 : 110 058
110060,NEW DELHI,110060,110060,NEW DELHI RAJINDRA NAGAR : 110 060 : 110 060
110063,NEW DELHI,110063,110063,NEW DELHI MADIPUR : 110 063 : 110 063
110064,NEW DELHI,110064,110064,NEW DELHI B.E.BLOCK HARINAGAR : 110 064 : 110 064
110066,NEW DELHI,110066,110066,NEW DELHI R.K.PURAM : 110066 : 110066
110067,NEW DELHI,110067,110067,NEW DELHI JNU NEW CAMPUS : 110 067 : 110 067
110070,NEW DELHI,110070,110070,NEW DELHI VASANT KUNJ : 110 070 : 110 070
110074,NEW DELHI,110074,110074,NEW DELHI CHATTARPUR : 110 074 : 110 074
110075,NEW DELHI,110075,110075,NEW DELHI DWARKA SECTOR 6 : 110 075 : 110 075
110076,NEW DELHI,110076,110076,NEW DELHI MADANPUR KHADAR : 110 076 : 110 076
110078,NEW DELHI,110078,110078,NEW DELHI KAKROLA : 110 078 : 110 078
110080,NEW DELHI,110080,110080,NEW DELHI SANGAM VIHAR : 110 080 : 110 080
110085,NEW DELHI,110085,110085,NEW DELHI RITHALA : 110 085 : 110 085
110091,NEW DELHI,110091,110091,NEW DELHI MAYUR VIHAR : 110 091 : 110 091
110092,NEW DELHI,110092,110092,NEW DELHI SHAKARPUR : 110 092 : 110 092
110095,NEW DELHI,110095,110095,NEW DELHI DILSHAD GARDEN : 110 095 : 110 095
110096,NEW DELHI,110096,110096,NEW DELHI MAYUR VIHAR PH III : 110 096 : 110 096
121,HARYANA SORTING,121001,127999,121*** : HARYANA SORTING : 121 001 - 127 999
131,AMBALA RMS,131001,136999,131*** : AMBALA RMS : 131 001 - 136 999
140,CHANDIGARH SORTING ( A ),140001,140999,140*** : CHANDIGARH SORTING ( A ) : 140 001 - 140 999
141,LUDHIANA RMS ( A ),141001,141999,141*** : LUDHIANA RMS ( A ) : 141 001 - 141 999
142,LUDHIANA RMS ( B ),142001,142999,142*** : LUDHIANA RMS ( B ) : 142 001 - 142 999
143,AMRITSAR RMS ( A ),143001,143999,143*** : AMRITSAR RMS ( A ) : 143 001 - 143 999
144,JALANDHAR CITY RMS ( A ),144001,144999,144*** : JALANDHAR CITY RMS ( A ) : 144 001 - 144 999
145,AMRITSAR RMS ( B ),145001,145999,145*** : AMRITSAR RMS ( B ) : 145 001 - 145 999
146,JALANDHAR CITY RMS ( B ),146001,146999,146*** : JALANDHAR CITY RMS ( B ) : 146 001 - 146 999
147,PATIALA RMS,147001,147999,147*** : PATIALA RMS : 147 001 - 147 999
148,LUDHIANA RMS ( C ),148001,148999,148*** : LUDHIANA RMS ( C ) : 148 001 - 148 999
151,LUDHIANA RMS ( D ),151001,151999,151*** : LUDHIANA RMS ( D ) : 151 001 - 151 999
152,LUDHIANA RMS ( E ),152001,152999,152*** : LUDHIANA RMS ( E ) : 152 001 - 152 999
160,CHANDIGARH SORTING ( B ),160001,160999,160*** : CHANDIGARH SORTING ( B ) : 160 001 - 160 999
171,SHIMLA RMS ( A ),171001,171999,171*** : SHIMLA RMS ( A ) : 171 001 - 171 999
172,SHIMLA RMS ( B ),172001,172999,172*** : SHIMLA RMS ( B ) : 172 001 - 172 999
173,AMBALA RMS (HP),173001,175999,173*** : AMBALA RMS (HP) : 173 001 - 175 999
176,PATHANKOT RMS ( A ),176001,176999,176*** : PATHANKOT RMS ( A ) : 176 001 - 176 999
177,PATHANKOT RMS ( B ),177001,177999,177*** : PATHANKOT RMS ( B ) : 177 001 - 177 999
180,JAMMU RMS,180001,185999,180*** : JAMMU RMS : 180 001 - 185 999
190,SRINAGAR RMS,190001,194999,190*** : SRINAGAR RMS : 190 001 - 194 999
201,GHAZIABAD CSO ( A ),201001,201999,201*** : GHAZIABAD CSO ( A ) : 201 001 - 201 999
202,BAREILLY  RMS ( A ),202001,202999,202*** : BAREILLY  RMS ( A ) : 202 001 - 202 999
203,GHAZIABAD CSO ( B ),203001,203999,203*** : GHAZIABAD CSO ( B ) : 203 001 - 203 999
204,GHAZIABAD CSO ( C ),204001,204999,204*** : GHAZIABAD CSO ( C ) : 204 001 - 204 999
205,AGRA FORT RMS ( B ),205001,205999,205*** : AGRA FORT RMS ( B ) : 205 001 - 205 999
206,AGRA FORT RMS ( C ),206001,206999,206*** : AGRA FORT RMS ( C ) : 206 001 - 206 999
207,BAREILLY  RMS ( B ),207001,207999,207*** : BAREILLY  RMS ( B ) : 207 001 - 207 999
208,KANPUR RMS ( A ),208001,208999,208*** : KANPUR RMS ( A ) : 208 001 - 208 999
209,KANPUR RMS ( B ),209001,209999,209*** : KANPUR RMS ( B ) : 209 001 - 209 999
210,KANPUR RMS ( C ),210001,210999,210*** : KANPUR RMS ( C ) : 210 001 - 210 999
211,ALLAHABAD RMS ( A ),211001,211999,211*** : ALLAHABAD RMS ( A ) : 211 001 - 211 999
212,ALLAHABAD RMS ( B ),212001,212999,212*** : ALLAHABAD RMS ( B ) : 212 001 - 212 999
221,VARANASI RMS ( A ),221001,221999,221*** : VARANASI RMS ( A ) : 221 001 - 221 999
222,VARANASI RMS ( B ),222001,222999,222*** : VARANASI RMS ( B ) : 222 001 - 222 999
224,LUCKNOW RMS ( A ),224001,228999,224*** : LUCKNOW RMS ( A ) : 224 001 - 228 999
229,ALLAHABAD RMS ( C ),229001,229999,229*** : ALLAHABAD RMS ( C ) : 229 001 - 229 999
230,ALLAHABAD RMS ( D ),230001,230999,230*** : ALLAHABAD RMS ( D ) : 230 001 - 230 999
231,VARANASI RMS ( B ),231001,233999,231*** : VARANASI RMS ( B ) : 231 001 - 233 999
241,BAREILLY RMS ( C ),241001,244999,241*** : BAREILLY RMS ( C ) : 241 001 - 244 999
245,GHAZIABAD CSO ( D ),245001,245999,245*** : GHAZIABAD CSO ( D ) : 245 001 - 245 999
246,SAHARANPUR RMS ( A ),246001,246999,246*** : SAHARANPUR RMS ( A ) : 246 001 - 246 999
247,SAHARANPUR RMS,247001,247999,247*** : SAHARANPUR RMS  : 247 001 - 247 999
248,SAHARANPUR RMS ( B ),248001,248999,248*** : SAHARANPUR RMS ( B ) : 248 001 - 248 999
249,SAHARANPUR RMS ( C ),249001,249999,249*** : SAHARANPUR RMS ( C ) : 249 001 - 249 999
250,GHAZIABAD CSO ( E ),250001,250999,250*** : GHAZIABAD CSO ( E ) : 250 001 - 250 999
251,SAHARANPUR RMS ( D ),251001,251999,251*** : SAHARANPUR RMS ( D ) : 251 001 - 251 999
261,LUCKNOW RMS ( B ),261001,261999,261*** : LUCKNOW RMS ( B ) : 261 001 - 261 999
262,BAREILLY RMS ( D ),262001,262999,262*** : BAREILLY RMS ( D ) : 262 001 - 262 999
263,BAREILLY RMS ( E ),263001,263999,263*** : BAREILLY RMS ( E ) : 263 001 - 263 999
271,GORAKPUR  RMS,271001,274999,271*** : GORAKPUR  RMS : 271 001 - 274 999
275,VARANASI RMS ( C ),275001,277999,275*** : VARANASI RMS ( C ) : 275 001 - 277 999
281,AGRA FORT RMS ( A ),281001,285999,281*** : AGRA FORT RMS ( A ) : 281 001 - 285 999
301,JAIPUR RMS ( A ),301001,304999,301*** : JAIPUR RMS ( A ) : 301 001 - 304 999
305,AJMER RMS ( A ),305001,307999,305*** : AJMER RMS ( A ) : 305 001 - 307 999
311,AJMER RMS ( B   ),311001,311999,311*** : AJMER RMS ( B   ) : 311 001 - 311 999
312,UDAIPUR RMS ( A ),312001,314999,312*** : UDAIPUR RMS ( A ) : 312 001 - 314 999
321,JAIPUR RMS ( C ),321001,321999,321*** : JAIPUR RMS ( C ) : 321 001 - 321 999
322,KOTA RMS,322001,326999,322*** : KOTA RMS  : 322 001 - 326 999
327,UDAIPUR RMS ( B ),327001,327999,327*** : UDAIPUR RMS ( B ) : 327 001 - 327 999
328,JAIPUR RMS ( D ),328001,328999,328*** : JAIPUR RMS ( D ) : 328 001 - 328 999
331,JAIPUR RMS ( B ),331001,335999,331*** : JAIPUR RMS ( B ) : 331 001 - 335 999
341,JODHPUR RMS ( C ),341001,341999,341*** : JODHPUR RMS ( C ) : 341 001 - 341 999
342,JODHPUR RMS ( D ),342001,342999,342*** : JODHPUR RMS ( D ) : 342 001 - 342 999
343,JODHPUR RMS ( A ),343001,343999,343*** : JODHPUR RMS ( A ) : 343 001 - 343 999
344,JODHPUR RMS ( E ),344001,344999,344*** : JODHPUR RMS ( E ) : 344 001 - 344 999
345,JODHPUR RMS ( B ),345001,345999,345*** : JODHPUR RMS ( B ) : 345 001 - 345 999
360,RAJKOT RMS,360001,363999,360*** : RAJKOT RMS : 360 001 - 363 999
364,AHAMEDABAD PSO ( A ),364001,364999,364*** : AHAMEDABAD PSO ( A ) : 364 001 - 364 999
365,AHAMEDABAD PSO ( B ),365001,365999,365*** : AHAMEDABAD PSO ( B ) : 365 001 - 365 999
370,AHAMEDABAD PSO ( C ),370001,370999,370*** : AHAMEDABAD PSO ( C ) : 370 001 - 370 999
380,AHAMEDABAD PSO ( D ),380001,380999,380*** : AHAMEDABAD PSO ( D ) : 380 001 - 380 999
382,AHAMEDABAD PSO ( E ),382001,385999,382*** : AHAMEDABAD PSO ( E ) : 382 001 - 385 999
387,ANAND RMS ( A ),387001,387999,387*** : ANAND RMS ( A ) : 387 001 - 387 999
388,ANAND RMS ( B ),388001,388999,388*** : ANAND RMS ( B ) : 388 001 - 388 999
389,VADODARA RMS,389001,393999,389*** : VADODARA RMS : 389 001 - 393 999
394,SURAT RMS,394001,398999,394*** : SURAT RMS : 394 001 - 398 999
400,MUMBAI PSO ( A ),400001,402999,400*** : MUMBAI PSO ( A ) : 400 001 - 402 999
403,PANAJI SORTING,403001,404999,403*** : PANAJI SORTING : 403 001 - 404 999
410,MUMBAI PSO ( B ),410001,410999,410*** : MUMBAI PSO ( B ) : 410 001 - 410 999
411,PUNE PSO,411001,416999,411*** : PUNE PSO : 411 001 - 416 999
421,MUMBAI PSO ( C ),421001,425999,421*** : MUMBAI PSO ( C ) : 421 001 - 425 999
430,AURANGABAD RMS,430001,431999,430*** : AURANGABAD RMS : 430 001 - 431 999
440,NAGPUR RMS,440001,446999,440*** : NAGPUR RMS : 440 001 - 446 999
450,INDORE RMS,450001,458999,450*** : INDORE RMS : 450 001 - 458 999
